n,a_n
1002,-778
1003,902
1004,-359
1005,-758
1006,771
1007,-973
1008,788
1009,516
1010,712
1011,918
1012,619
1013,-110
1014,42
1015,-931
1016,-898
1017,487
1018,-57
1019,-441
1020,-940
1021,627
1022,-988
1023,-1022
1024,851
1025,370
1026,-664
1027,925
1028,1009
1029,-539
1030,1007
1031,1024
1032,-160
1033,-229
1034,-344
1035,1035
1036,-1024
1037,168
1038,-1035
1039,1027
1040,306
1041,-993
1042,-261
1043,253
1044,1039
1045,795
1046,-187
1047,1045
1048,956
1049,859
1050,-1024
1051,170
1052,368
1053,-445
1054,944
1055,1054
1056,-1055
1057,578
1058,-52
1059,-1045
1060,-968
1061,-399
1062,16
1063,-309
1064,-958
1065,-199
1066,939
1067,350
1068,-1025
1069,-794
1070,-786
1071,-603
1072,202
1073,868
1074,857
1075,653
1076,-466
1077,-929
1078,854
1079,-527
1080,768
1081,1074
1082,-442
1083,-891
1084,1017
1085,-831
1086,-1084
1087,160
1088,236
1089,-407
1090,1076
1091,1091
1092,-834
1093,1088
1094,928
1095,-1033
1096,-606
1097,-355
1098,-3
1099,-158
1100,-873
1101,394
1102,-1062
1103,-152
1104,-1029
1105,1097
1106,-612
1107,-637
1108,-752
1109,1016
1110,-1059
1111,308
1112,141
1113,402
1114,-134
1115,-989
1116,-634
1117,635
1118,437
1119,-353
1120,-1017
1121,864
1122,-72
1123,-288
1124,964
1125,506
1126,-230
1127,692
1128,850
1129,1107
1130,1037
1131,310
1132,962
1133,709
1134,-952
1135,108
1136,1055
1137,-615
1138,780
1139,884
1140,-1068
1141,165
1142,1140
1143,441
1144,1058
1145,750
1146,852
1147,-676
1148,605
1149,1115
1150,299
1151,-603
1152,216
1153,801
1154,120
1155,674
1156,1147
1157,-365
1158,-627
1159,1124
1160,-736
1161,-883
1162,242
1163,-116
1164,-278
1165,-1164
1166,-1165
1167,-593
1168,-807
1169,-446
1170,128
1171,843
1172,1021
1173,18
1174,-879
1175,710
1176,4
1177,-892
1178,252
1179,737
1180,1128
1181,-200
1182,1034
1183,-480
1184,-731
1185,-993
1186,-298
1187,-520
1188,1186
1189,-1187
1190,597
1191,119
1192,-439
1193,877
1194,-570
1195,1171
1196,868
1197,955
1198,-49
1199,1145
1200,1194
1201,236
1202,-449
1203,-298
1204,-527
1205,857
1206,732
1207,-13
1208,-504
1209,-1177
1210,-1078
1211,507
1212,-1132
1213,-1036
1214,808
1215,-699
1216,-1215
1217,-872
1218,1193
1219,-876
1220,-592
1221,-1198
1222,1061
1223,-923
1224,722
1225,-654
1226,-636
1227,-1208
1228,-1226
1229,-861
1230,-245
1231,58
1232,1224
1233,-1157
1234,-959
1235,896
1236,-746
1237,1227
1238,1211
1239,-1234
1240,-748
1241,-364
1242,515
1243,-269
1244,1150
1245,223
1246,63
1247,212
1248,-1246
1249,-1170
1250,-1212
1251,765
1252,-1251
1253,-751
1254,196
1255,1181
1256,-294
1257,1216
1258,-257
1259,725
1260,817
1261,237
1262,-1239
1263,-1181
1264,303
1265,1249
1266,-1235
1267,437
1268,-400
1269,1079
1270,-1258
1271,-1242
1272,1115
1273,331
1274,-1155
1275,1142
1276,-1275
1277,600
1278,54
1279,-717
1280,-838
1281,-925
1282,-1256
1283,766
1284,-666
1285,26
1286,983
1287,401
1288,-1160
1289,879
1290,-774
1291,-1186
1292,1291
1293,247
1294,1199
1295,-1145
1296,-1287
1297,1129
1298,-1195
1299,-1207
1300,-761
1301,-869
1302,-1224
1303,1226
1304,919
1305,1301
1306,489
1307,-1156
1308,142
1309,-771
1310,1265
1311,1144
1312,586
1313,1308
1314,1171
1315,954
1316,-1136
1317,1254
1318,-639
1319,1254
1320,-640
1321,1025
1322,988
1323,1323
1324,-505
1325,-949
1326,-310
1327,-1130
1328,1100
1329,573
1330,1255
1331,-1328
1332,-1040
1333,174
1334,-1250
1335,466
1336,1157
1337,1045
1338,1221
1339,1180
1340,-1265
1341,-1172
1342,246
1343,1099
1344,-708
1345,1222
1346,104
1347,-436
1348,-851
1349,-492
1350,-1273
1351,821
1352,-1170
1353,-1312
1354,1257
1355,484
1356,266
1357,1166
1358,-616
1359,-330
1360,177
1361,1196
1362,1104
1363,-1314
1364,-989
1365,-775
1366,-1131
1367,-33
1368,-1367
1369,540
1370,-471
1371,328
1372,1314
1373,1001
1374,1263
1375,113
1376,-130
1377,1280
1378,-1351
1379,-155
1380,1204
1381,-963
1382,-1375
1383,1179
1384,-1088
1385,-1170
1386,-1344
1387,788
1388,711
1389,1171
1390,1009
1391,-728
1392,1048
1393,-1338
1394,440
1395,249
1396,-1017
1397,1076
1398,1398
1399,10
1400,-764
1401,781
1402,1333
1403,1155
1404,-1253
1405,-670
1406,1046
1407,208
1408,861
1409,288
1410,-1204
1411,981
1412,1038
1413,1353
1414,1208
1415,1413
1416,-927
1417,321
1418,753
1419,-1178
1420,-140
1421,-1393
1422,1360
1423,431
1424,-808
1425,815
1426,-1384
1427,-1415
1428,-1368
1429,1410
1430,776
1431,-41
1432,225
1433,-1331
1434,1235
1435,-500
1436,669
1437,225
1438,-1336
1439,1054
1440,-1439
1441,-213
1442,851
1443,522
1444,690
1445,-1317
1446,899
1447,703
1448,-948
1449,1002
1450,240
1451,1373
1452,-182
1453,310
1454,1236
1455,-1421
1456,-1223
1457,1158
1458,1382
1459,-429
1460,-1438
1461,1100
1462,629
1463,925
